index,Hard,Soft,Pro_Brexit,Remain,Anti_Hard,Anti_Soft,Ambiguous,Intensity,tweet_id
1,0,0,0,0,1,0,0,2,9.21E+17
2,0,0,0,0,0,0,1,1,9.21E+17
3,1,0,1,0,0,0,0,3,9.20E+17
4,0,0,0,0,0,0,1,4,9.19E+17
5,0,0,0,0,0,0,1,3,9.16E+17
6,0,0,0,0,0,0,1,2,9.19E+17
7,0,0,0,0,1,0,1,4,9.25E+17
8,1,0,1,0,0,1,0,5,9.20E+17
9,0,0,0,0,0,0,1,2,9.16E+17
10,0,0,0,0,0,0,1,2,9.10E+17
11,0,0,0,1,1,0,0,4,9.26E+17
12,0,0,0,0,0,0,1,3,9.21E+17
13,0,0,0,0,1,0,0,4,9.13E+17
14,1,0,1,0,0,1,0,3,9.24E+17
15,0,0,1,0,0,0,1,3,9.19E+17
16,0,0,0,0,1,0,0,4,9.09E+17
17,0,0,0,0,0,0,1,2,9.20E+17
18,0,0,0,0,1,0,0,4,9.20E+17
19,0,0,0,0,0,0,1,3,9.10E+17
20,0,0,0,0,0,0,1,2,9.18E+17
21,0,0,0,0,0,0,1,1,9.09E+17
22,0,0,0,0,1,0,0,3,9.20E+17
23,0,0,0,0,1,0,0,4,9.20E+17
24,1,0,1,0,0,1,0,2,9.19E+17
25,0,0,0,0,0,0,1,3,9.16E+17
26,0,0,0,0,0,0,1,2,9.26E+17
27,0,0,0,0,0,0,1,1,9.18E+17
28,0,1,0,0,1,0,0,3,9.10E+17
29,0,0,0,0,0,0,1,1,9.16E+17
30,0,0,0,0,0,0,1,2,9.17E+17
31,0,0,0,1,1,0,0,3,9.18E+17
32,0,0,0,0,0,0,1,2,9.14E+17
33,0,0,0,0,1,0,0,3,9.19E+17
34,0,0,0,0,1,0,0,2,9.18E+17
35,0,0,0,0,0,0,1,4,9.14E+17
36,0,0,0,0,0,0,1,2,9.15E+17
37,1,0,1,0,0,0,0,4,9.12E+17
38,1,0,1,0,0,0,0,2,9.21E+17
39,0,0,0,0,0,0,1,5,9.10E+17
40,0,0,0,0,0,0,1,5,9.10E+17
41,1,0,1,0,0,0,0,5,9.21E+17
42,0,0,0,0,1,0,0,2,9.10E+17
43,0,0,0,0,0,0,1,2,9.24E+17
44,0,0,0,0,0,0,1,5,9.20E+17
45,0,0,0,0,0,0,1,1,9.15E+17
46,0,0,0,0,0,0,1,2,9.19E+17
47,0,0,0,0,1,0,0,2,9.20E+17
48,0,0,0,0,1,0,0,2,9.13E+17
49,0,0,0,0,0,0,1,2,9.19E+17
50,1,0,0,0,0,0,0,1,9.25E+17
51,0,1,0,0,1,0,0,2,9.11E+17
52,0,1,0,0,1,0,0,4,9.18E+17
53,0,0,0,0,1,0,0,2,9.11E+17
54,0,0,0,0,1,0,0,2,9.24E+17
55,0,0,0,0,1,0,0,4,9.19E+17
56,0,0,0,0,0,0,1,1,9.12E+17
57,0,0,0,0,1,0,0,2,9.18E+17
58,0,0,0,0,1,0,0,5,9.18E+17
59,0,0,0,0,1,0,0,4,9.08E+17
60,0,0,0,0,0,0,1,3,9.13E+17
61,0,1,0,0,1,0,0,3,9.18E+17
62,0,0,0,0,1,0,1,2,9.19E+17
63,0,0,0,0,0,0,1,1,9.27E+17
64,0,1,0,0,0,0,0,2,9.11E+17
65,1,0,0,0,0,0,0,2,9.22E+17
66,0,0,0,0,0,0,1,2,9.15E+17
67,0,0,0,0,1,0,0,2,9.25E+17
68,0,0,0,0,0,0,1,1,9.22E+17
69,1,0,1,0,0,0,0,5,9.09E+17
70,0,0,0,1,0,0,0,4,9.18E+17
71,0,0,0,1,0,0,0,5,9.10E+17
72,0,0,0,0,1,0,0,3,9.20E+17
73,0,0,0,0,0,0,1,3,9.25E+17
74,0,0,0,0,0,0,1,2,9.16E+17
75,0,0,0,1,0,0,0,2,9.22E+17
76,0,0,0,1,0,0,0,4,9.18E+17
77,0,0,0,0,1,0,0,4,9.20E+17
78,0,0,0,0,1,0,0,2,9.27E+17
79,0,0,0,0,0,0,1,4,9.21E+17
80,0,0,0,0,0,0,1,2,9.22E+17
81,0,0,0,0,1,0,0,2,9.10E+17
82,0,0,0,1,0,0,0,3,9.27E+17
83,1,0,1,0,0,0,0,4,9.11E+17
84,1,0,1,0,0,1,0,3,9.10E+17
85,0,0,0,0,0,0,1,2,9.19E+17
86,0,0,0,0,0,0,1,2,9.12E+17
87,0,0,0,0,0,0,1,1,9.19E+17
88,0,0,0,0,0,0,1,2,9.12E+17
89,0,1,0,0,1,0,0,3,9.08E+17
90,0,0,0,0,1,0,0,3,9.12E+17
91,0,0,1,0,0,0,0,3,9.13E+17
92,0,0,0,0,0,0,1,2,9.20E+17
93,0,0,0,0,1,0,0,5,9.23E+17
94,1,0,1,0,0,0,0,2,9.11E+17
95,0,0,0,0,0,0,1,2,9.23E+17
96,1,0,1,0,0,0,0,2,9.20E+17
97,1,0,1,0,0,1,0,4,9.20E+17
98,0,0,0,0,1,0,0,2,9.15E+17
99,1,0,1,0,0,0,0,2,9.14E+17
100,1,0,0,0,0,0,0,2,9.18E+17
101,1,0,1,0,0,0,0,3,9.09E+17
102,0,0,0,0,1,0,0,2,9.17E+17
103,0,0,0,0,1,0,0,5,9.14E+17
104,0,0,1,0,0,0,0,3,9.09E+17
105,0,0,0,0,1,0,0,2,9.09E+17
106,0,0,0,0,0,0,1,3,9.24E+17
107,0,0,0,0,0,0,1,2,9.18E+17
108,0,0,0,0,0,0,1,2,9.20E+17
109,0,0,0,0,0,0,1,4,9.10E+17
110,0,1,0,0,1,0,0,2,9.08E+17
111,0,0,0,0,0,0,1,2,9.16E+17
112,1,0,1,0,0,0,0,2,9.13E+17
113,0,0,0,0,0,0,1,3,9.15E+17
114,0,0,0,0,0,0,1,4,9.26E+17
115,0,0,0,0,0,0,1,3,9.19E+17
116,0,0,0,0,0,0,1,3,9.22E+17
117,1,0,1,0,0,0,0,3,9.11E+17
118,0,0,0,0,0,0,1,2,9.16E+17
119,0,0,0,0,1,0,0,3,9.08E+17
120,0,0,0,0,1,0,0,5,9.27E+17
121,0,0,0,0,1,0,0,3,9.22E+17
122,1,0,1,0,0,0,0,2,9.18E+17
123,0,0,0,0,1,0,0,2,9.10E+17
124,0,0,0,0,0,0,1,3,9.22E+17
125,0,0,0,0,1,0,0,2,9.15E+17
126,1,0,1,0,0,0,0,2,9.10E+17
127,0,0,0,0,0,0,1,2,9.16E+17
128,0,0,0,0,0,0,1,4,9.26E+17
129,0,0,0,0,0,0,1,3,9.19E+17
130,0,0,0,0,0,0,1,4,9.27E+17
131,0,0,0,0,0,0,1,3,9.16E+17
132,0,0,0,0,0,0,1,4,9.20E+17
133,1,0,0,0,0,0,0,2,9.27E+17
134,0,0,0,0,0,0,1,2,9.20E+17
135,0,0,0,0,0,0,1,3,9.09E+17
136,0,0,0,0,0,0,1,3,9.11E+17
137,1,0,1,0,0,0,0,3,9.14E+17
138,0,0,0,0,0,0,1,3,9.10E+17
139,0,0,0,0,0,0,1,3,9.25E+17
140,0,0,0,0,0,0,1,1,9.18E+17
141,0,0,0,0,0,0,1,3,9.12E+17
142,0,0,0,0,0,0,1,3,9.10E+17
143,0,0,0,0,0,0,1,2,9.10E+17
144,0,0,0,0,0,0,1,2,9.26E+17
145,0,0,0,0,1,0,0,4,9.16E+17
146,0,0,0,0,0,0,1,2,9.16E+17
147,0,0,0,0,0,0,1,3,9.13E+17
148,0,0,0,1,1,1,0,5,9.15E+17
149,0,0,0,0,1,0,0,5,9.20E+17
150,0,0,0,1,1,0,0,4,9.21E+17
151,0,0,0,0,0,0,1,4,9.18E+17
152,0,0,0,0,0,0,1,2,9.21E+17
